nombre,password,cuenta,descripcion,grupo,grupo2
ANTONIO,Zsxdcfv10*,acamposg,Usuario de Comercial,DepComercial,Users
PEPE,Zsxdcfv10*,pchavesc,Usuario de Comercial,DepComercial,Users
IGNACIO,Zsxdcfv10*,ichavesv,Usuario de Comercial,DepComercial,Users
FRANCISCO,Zsxdcfv10*,fcoelloa,Usuario de Comercial,DepComercial,Users
LUIS,Zsxdcfv10*,lnavarror,Usuario de Comercial,DepComercial,Users
BASILIO,Zsxdcfv10*,bpujolg,Usuario de Comercial,DepComercial,Users
LAURA,Zsxdcfv10*,lalbaa,Usuario de Compatibilidad,DepCompatibilidad,Users
JAVIER,Zsxdcfv10*,jariasp,Usuario de Compatibilidad,DepCompatibilidad,Users
CLAUDIO,Zsxdcfv10*,cmonchoa,Usuario de Compatibilidad,DepCompatibilidad,Users
BASILIO,Zsxdcfv10*,bmonchoc,Usuario de Compatibilidad,DepCompatibilidad,Users
JOHANN,Zsxdcfv10*,jaguilara,Usuario de Informatica,DepInformatica,Users
SUSANA,Zsxdcfv10*,salabaus,Usuario de Informatica,DepInformatica,Users
LAURA,Zsxdcfv10*,lalbaa,Usuario de Informatica,DepInformatica,Users
SARA,Zsxdcfv10*,salbam,Usuario de Informatica,DepInformatica,Users
FRANCISCO,Zsxdcfv10*,fcamposg,Usuario de Informatica,DepInformatica,Users
JORGE,Zsxdcfv10*,jcarvalhog,Usuario de Informatica,DepInformatica,Users
RODRIGO,Zsxdcfv10*,rgallegoc,Usuario de Informatica,DepInformatica,Users
PEDRO,Zsxdcfv10*,pgomisz,Usuario de Informatica,DepInformatica,Users
MARIO,Zsxdcfv10*,mjuanp,Usuario de Informatica,DepInformatica,Users
MARIO,Zsxdcfv10*,mjuanv,Usuario de Informatica,DepInformatica,Users
EVA,Zsxdcfv10*,epellicerj,Usuario de Informatica,DepInformatica,Users
ISABEL,Zsxdcfv10*,iruizm,Usuario de Informatica,DepInformatica,Users
PEPE,Zsxdcfv10*,psanchoc,Usuario de Informatica,DepInformatica,Users
PIEDAD,Zsxdcfv10*,pvalenciar,Usuario de Informatica,DepInformatica,Users
ISABEL,Zsxdcfv10*,icarvalhoa,Usuario de Personal,DepPersonal,Users
JORGE,Zsxdcfv10*,jcarvalhop,Usuario de Personal,DepPersonal,Users
IGNACIO,Zsxdcfv10*,ichavesj,Usuario de Personal,DepPersonal,Users
MANUEL,Zsxdcfv10*,mvargasc,Usuario de Personal,DepPersonal,Users
SARA,Zsxdcfv10*,szambujoc,Usuario de Personal,DepPersonal,Users
IDJGM,Zsxdcfv10*,idjgm,Usuario de Administradores,Administradores,Users
